,img_name,dmos
1747,I14_25_03.png,3.9
1748,I14_25_04.png,4.03
1749,I14_25_05.png,3.37
1870,I15_25_01.png,2.97
1871,I15_25_02.png,3.2
1872,I15_25_03.png,3.63
1873,I15_25_04.png,3.87
1874,I15_25_05.png,3.2
1995,I16_25_01.png,3.43
1996,I16_25_02.png,3.5
1997,I16_25_03.png,4.16
1998,I16_25_04.png,4.17
1999,I16_25_05.png,3.7
2120,I17_25_01.png,3.4
2121,I17_25_02.png,3.47
2122,I17_25_03.png,4.33
2123,I17_25_04.png,4.43
2124,I17_25_05.png,3.4
2245,I18_25_01.png,3.7
2246,I18_25_02.png,3.87
2247,I18_25_03.png,3.9
2248,I18_25_04.png,4.03
2249,I18_25_05.png,3.33
2370,I19_25_01.png,3.53
2371,I19_25_02.png,4.17
2372,I19_25_03.png,4.45
2373,I19_25_04.png,4.43
2374,I19_25_05.png,3.53
2495,I20_25_01.png,2.97
2496,I20_25_02.png,3.73
2497,I20_25_03.png,3.87
2498,I20_25_04.png,4.03
2499,I20_25_05.png,3.0
2620,I21_25_01.png,3.5
2621,I21_25_02.png,3.77
2622,I21_25_03.png,3.97
2623,I21_25_04.png,3.87
2624,I21_25_05.png,3.2
2745,I22_25_01.png,3.33
2746,I22_25_02.png,4.03
2747,I22_25_03.png,4.3
2748,I22_25_04.png,4.03
2749,I22_25_05.png,2.9
2870,I23_25_01.png,4.23
2871,I23_25_02.png,4.27
2872,I23_25_03.png,4.37
2873,I23_25_04.png,4.4
2874,I23_25_05.png,3.9
2995,I24_25_01.png,3.2
2996,I24_25_02.png,3.83
2997,I24_25_03.png,4.33
2998,I24_25_04.png,3.83
2999,I24_25_05.png,3.53
3120,I25_25_01.png,3.53
3121,I25_25_02.png,3.93
3122,I25_25_03.png,4.5
3123,I25_25_04.png,4.67
3124,I25_25_05.png,3.53
3245,I26_25_01.png,3.07
3246,I26_25_02.png,3.7
3247,I26_25_03.png,4.37
3248,I26_25_04.png,4.0
3249,I26_25_05.png,3.03
3370,I27_25_01.png,3.23
3371,I27_25_02.png,3.73
3372,I27_25_03.png,4.03
3373,I27_25_04.png,4.0
3374,I27_25_05.png,3.07
3495,I28_25_01.png,3.48
3496,I28_25_02.png,4.13
3497,I28_25_03.png,4.43
3498,I28_25_04.png,4.4
3499,I28_25_05.png,3.73
3620,I29_25_01.png,3.2
3621,I29_25_02.png,3.74
3622,I29_25_03.png,4.17
3623,I29_25_04.png,4.07
3624,I29_25_05.png,2.63
3745,I30_25_01.png,3.63
3746,I30_25_02.png,4.4
3747,I30_25_03.png,4.8
3748,I30_25_04.png,4.4
3749,I30_25_05.png,3.73
3870,I31_25_01.png,3.6
3871,I31_25_02.png,4.1
3872,I31_25_03.png,4.4
3873,I31_25_04.png,4.3
3874,I31_25_05.png,3.27
3995,I32_25_01.png,3.23
3996,I32_25_02.png,3.47
3997,I32_25_03.png,3.84
3998,I32_25_04.png,3.2
3999,I32_25_05.png,2.27
4120,I33_25_01.png,3.2
4121,I33_25_02.png,4.0
4122,I33_25_03.png,4.37
4123,I33_25_04.png,4.23
4124,I33_25_05.png,3.3
4245,I34_25_01.png,3.03
4246,I34_25_02.png,3.43
4247,I34_25_03.png,4.27
4248,I34_25_04.png,4.0
4249,I34_25_05.png,2.63
4370,I35_25_01.png,3.53
4371,I35_25_02.png,4.37
4372,I35_25_03.png,4.6
4373,I35_25_04.png,4.47
4374,I35_25_05.png,3.8
4495,I36_25_01.png,3.87
4496,I36_25_02.png,4.2
4497,I36_25_03.png,4.6
4498,I36_25_04.png,4.4
4499,I36_25_05.png,4.1
4620,I37_25_01.png,3.9
4621,I37_25_02.png,4.17
4622,I37_25_03.png,4.63
4623,I37_25_04.png,4.17
4624,I37_25_05.png,2.97
4745,I38_25_01.png,3.6
4746,I38_25_02.png,3.73
4747,I38_25_03.png,4.3
4748,I38_25_04.png,3.97
4749,I38_25_05.png,3.1
4870,I39_25_01.png,3.77
4871,I39_25_02.png,4.23
4872,I39_25_03.png,4.67
4873,I39_25_04.png,4.37
4874,I39_25_05.png,3.77
4995,I40_25_01.png,3.63
4996,I40_25_02.png,3.47
4997,I40_25_03.png,3.93
4998,I40_25_04.png,3.87
4999,I40_25_05.png,2.45
5120,I41_25_01.png,3.73
5121,I41_25_02.png,4.23
5122,I41_25_03.png,4.53
5123,I41_25_04.png,4.6
5124,I41_25_05.png,3.97
5245,I42_25_01.png,3.13
5246,I42_25_02.png,3.87
5247,I42_25_03.png,4.27
5248,I42_25_04.png,4.3
5249,I42_25_05.png,3.1
5370,I43_25_01.png,3.8
5371,I43_25_02.png,4.2
5372,I43_25_03.png,4.53
5373,I43_25_04.png,4.13
5374,I43_25_05.png,3.1
5495,I44_25_01.png,3.17
5496,I44_25_02.png,3.57
5497,I44_25_03.png,4.17
5498,I44_25_04.png,3.4
5499,I44_25_05.png,2.97
